"value","Variable"
0.00534275110808736,"ENSG00000006432"
0.010066267885334,"ENSG00000103494"
0.00091634690850308,"ENSG00000130822"
0.00463497760850721,"ENSG00000132612"
0.00739796376906081,"ENSG00000139514"
-0.00675039955279029,"ENSG00000143278"
-0.0238466268146325,"ENSG00000158874"
-0.0221396800632346,"ENSG00000160282"
-0.00903735552388835,"ENSG00000160870"
-0.0205232393046689,"ENSG00000164904"
0.00752221870103387,"ENSG00000165775"
-0.00266918110255384,"ENSG00000172497"
0.00369138095785802,"ENSG00000186193"
0.00681357719239643,"ENSG00000214223"
0.00822710646649878,"ENSG00000228952"
0.00351535451584884,"ENSG00000240087"
0.0209411494311022,"ENSG00000255883"
0.00988430995395752,"ENSG00000261609"
-0.00130544743499982,"ENSG00000283342"
