"Gene","PIP","Coefficient"
"ENSG00000260990",0.653085774976458,0.151834621965577
"ENSG00000250483",0.645804035397235,0.149530495690592
"ENSG00000287446",0.627477586123706,0.138677389315971
"ENSG00000148082",0.619477641583541,0.134625984489327
"ENSG00000004948",0.612040697197136,0.133517257682385
"ENSG00000089169",0.607823482987112,0.129476780125032
"ENSG00000202229",0.598785187576653,0.125669056409878
"ENSG00000182586",0.585522834560807,0.118117848242697
"ENSG00000278383",0.577634835556031,0.1149874103132
"ENSG00000250387",0.573652738412777,0.113042734818073
"ENSG00000108433",0.569650941867168,0.110583188299676
"ENSG00000224473",0.564554727627022,0.10708882094653
"ENSG00000253954",0.559464136158453,-0.105150825017173
"ENSG00000283959",0.559297642245817,0.104488660244912
"ENSG00000214711",0.55703528787743,0.103266111659117
"ENSG00000189325",0.554878537567992,0.105369625897197
"ENSG00000104835",0.551375572205824,-0.099659055298276
"ENSG00000212332",0.550848805133379,0.1007360669855
"ENSG00000267496",0.548772209521493,0.099551961290388
"ENSG00000198910",0.546947322962065,0.0967809322910259
"ENSG00000230362",0.540338073030687,0.0942614770531019
"ENSG00000254972",0.53928374913435,0.0953113350904975
"ENSG00000121871",0.539126137258666,0.0961661334173957
"ENSG00000185674",0.535285150269278,0.0902736814078691
"ENSG00000227550",0.533415822831901,0.0920202353737944
"ENSG00000228286",0.533291022038034,0.0913008782064778
"ENSG00000211945",0.53280993400397,-0.0901952912707581
"ENSG00000147206",0.532484995753049,0.0921496829403239
"ENSG00000135100",0.532247746077488,0.0914037397558678
"ENSG00000169040",0.532225428388155,0.0932089464055328
"ENSG00000255062",0.532132397422903,0.0908064154019284
"ENSG00000177675",0.532004806711183,0.089368146195676
"ENSG00000232352",0.530963795652072,-0.0889006366548252
"ENSG00000170423",0.530886989208094,0.0912538041545027
"ENSG00000108298",0.528851020736749,-0.0880914427471463
"ENSG00000221882",0.528656040734608,0.0897221120126015
"ENSG00000237921",0.528416739583925,0.0892881190440623
"ENSG00000221265",0.527614109845828,0.0848213125610029
"ENSG00000253971",0.524749084045229,0.0867506599901255
"ENSG00000261377",0.524345336017906,0.0860632946193956
"ENSG00000255622",0.523456384675833,0.0861969308571858
"ENSG00000225912",0.523168505656791,-0.0850765997353989
"ENSG00000079689",0.52217784640416,0.0864330652210982
"ENSG00000169894",0.520583779862228,0.0844532396848052
"ENSG00000237758",0.520325136300828,-0.0838559151916959
"ENSG00000168334",0.519712269752649,-0.0817440192542251
"ENSG00000183134",0.519416937995159,0.086560851722968
"ENSG00000248859",0.519403324373597,0.0839008961633311
"ENSG00000219642",0.519280959305015,-0.0818124299922295
"ENSG00000010219",0.518423228102869,0.0827264509120942
"ENSG00000227748",0.517935326258022,0.0842244545502985
"ENSG00000140443",0.51755582292627,-0.0810609231125504
"ENSG00000255474",0.51624870897157,0.0854853471861796
"ENSG00000251972",0.51605662626349,-0.077124317271678
"ENSG00000208037",0.515956813812196,0.0812734171604057
"ENSG00000260047",0.514291579000253,-0.0807968734698999
"ENSG00000100344",0.513363503518492,-0.0802769036293447
"ENSG00000162039",0.512508814016871,-0.0783483248659478
"ENSG00000254934",0.51165582771274,0.0808567785201714
"ENSG00000159723",0.51113898337818,-0.0783500010090771
"ENSG00000242737",0.510664729466808,-0.074203333143316
"ENSG00000263955",0.510526719312567,0.0783792838141977
"ENSG00000253429",0.510354515543269,-0.0720223545256151
"ENSG00000268278",0.510353486429357,-0.0794274374429248
"ENSG00000261594",0.509884463904172,0.0779148601144341
"ENSG00000253622",0.508969997031448,0.0795276551630239
"ENSG00000213512",0.508811211555863,-0.076623608151454
"ENSG00000276545",0.508549261779025,0.0732246197184388
"ENSG00000161270",0.507842260173777,0.0757761590695524
"ENSG00000234880",0.507825249701732,0.0780392446572623
"ENSG00000241877",0.507551065397945,-0.0765396859726128
"ENSG00000257927",0.506266791730529,-0.0716693782842208
"ENSG00000242020",0.505459728288807,0.0721141034160394
"ENSG00000183586",0.505384408729769,0.0764789632326396
"ENSG00000231185",0.503297237523319,0.0738191010104017
"ENSG00000222465",0.502960469325396,0.0707061189109209
"ENSG00000221947",0.501491365734267,0.0732645715659758
"ENSG00000131737",0.501101847252836,0.0715991605635214
"ENSG00000095932",0.500965497488005,-0.0727990287611245
"ENSG00000279570",0.500016460084545,-0.0634008534177069
